herb_id,herb_name,herb_name_latin,nature_vi,temp_property,yin_yang,element_group,category_vi,meridian_main,indication_vi,safety_note,data_source,,image_url
H047,Sử quân tử,Semen Quisqualis,Cam,Ôn,Dương,Thổ,Thuốc trừ giun sán,"Tỳ, Vị","Khử trùng tiêu tích, kiện tỳ, tiêu cam. Chủ trị: Giun đũa, giun kim, các chứng cam tích ờ trẻ em (bụng ỏng, da xanh, mắt mũi nhoèn gỉ).","Khi dùng cần phải loại bỏ lớp vỏ nhân, đồng thời không nên uống nước chè để tránh bị nấc.","https://duocdienvietnam.com/su-quan-tu/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 382",,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Combretum_indicum_01.JPG/960px-Combretum_indicum_01.JPG
H048,Thảo quyết minh (Hạt),Semen Sennae torae,Hàm,Bình,Trung tính,"Thủy, Mộc, Kim",Thuốc thanh nhiệt táo thấp,"Thận, Can, Đại trường","Tả can minh mục, an thần, nhuận tràng. Chủ trị: Đau mắt đỏ, sợ ánh sáng, mắt mờ, chảy nước mắt (sao vàng), đại tiện bí kết (dùng sống), mất ngủ (sao đen).",Người hay bị phân lỏng không dùng.,"https://duocdienvietnam.com/thao-quyet-minh-hat/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 227",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thao-quyet-minh-duoc-lieu-tue-linh.jpg
H049,Thị đế,Calyx Kaki,"Khổ, chát",Bình,Trung tính,Thổ,Thuốc phá khí giáng nghịch,Vị,"Giáng nghịch, hạ khí. Chủ trị Nấc (ách nghịch).",,"https://duocdienvietnam.com/thi-de/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 281",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thi-de-duoc-lieu-tue-linh2.jpg
H050,Thương lục (Rễ củ),Radix Phytolaccae,Khổ,Hàn (Có độc),Âm mạnh,Thủy,Thuốc trục thủy,Thận,"Công năng: Thuốc xổ và trục thủy, giải độc tiêu viêm. Chủ trị: Phù toàn thân, vô niệu, táo bón. Dùng ngoài chữa mụn nhọt, đau nhức.","Không dùng cho phụ nữ có thai, người thủy thũng do tỳ hư.","https://duocdienvietnam.com/thuong-luc-re-cu/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 372",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thuong-luc-duoc-lieu-tue-linh3.jpg
H051,Tô mộc,Lignum Sappan,"Cam, hàm",Bình,Trung tính,"Hỏa, Mộc, Thổ",Thuốc phá huyết,"Tâm, Can, Tỳ","Công năng: Hành huyết khử ứ, tiêu viêm chỉ thông. Chủ trị: Thống kinh, bế kinh, sàn hậu huyết ứ, đau nhói ngực bụng, sưng đau do sang chấn, nhiệt lỵ.","Phụ nữ có thai, huyết hư không ứ trệ thì không nên dùng","https://duocdienvietnam.com/to-moc/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 302",,https://upload.wikimedia.org/wikipedia/commons/1/14/Caesalpinia_sappan_%28Sappan_wood%29_W2_IMG_3339.jpg
H052,Trạch tả (Thân rễ),Rhizoma Alismatis,"Cam, hàm",Hàn,Âm,Thủy,Thuốc lợi thấp,"Thận, Bàng quang","Công năng: Lợi tiểu tiện, thanh thấp nhiệt. Chủ trị: Nhiệt lâm tiểu tiện ít, bí, buốt, rắt; phù thũng, đầy trướng, tiêu chảy, đàm ẩm.","Thận hỏa hư, tiểu tiện không cầm, tỳ hư không nên dùng.","https://duocdienvietnam.com/trach-ta-than-re/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 334",,https://upload.wikimedia.org/wikipedia/commons/5/5e/Alisma_plantago-aquatica_%26_green_eggs20140606_10.jpg
H053,Đạm trúc diệp,Herba Lophatheri,"Cam, đạm",Hàn,Âm,"Hỏa, Kim",Thuốc thanh nhiệt táo thấp,"Tâm, Phế, Tiểu trường","Thanh nhiệt, trừ phiền, lợi tiểu. Chủ trị: Nhiệt bệnh, khát nước, tâm nóng bứt rứt, lở miệng, lưỡi, tiểu tiện đỏ, rít, đái rắt.",Phụ nữ có thai không nên dùng,"https://duocdienvietnam.com/dam-truc-diep/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 226",,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/m-truc-diep-duoc-lieu-tue-linh-1.jpg
H054,Tục đoạn (Rễ),Radix Dipsaci,"Khổ, tân, cam",Ôn,Dương,"Mộc, Thủy",Thuốc bổ dương  (thuốc trợ dương),"Can, Thận","Công năng: Bổ can thận, cường cân cốt, liền xương, an thai. Chủ trị: Thắt lưng và đầu gối đau yếu, di tinh, động thai, rong kinh, băng huyết, đới hạ, sang chấn, gãy xương, đứt gân. Tửu Tục đoạn thường dùng cho người phong thấp, sang chấn. Diêm Tục đoạn thường dùng cho người đau yếu thắt lưng và đầu gối.",Không dùng cho người âm hư hỏa vượng.,"https://duocdienvietnam.com/tuc-doan-re/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 351",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tuc-doan-duoc-lieu-tue-linh1.jpg
H055,Tỳ bà diệp,Folium Eriobriotryae,Khổ,Vi hàn,Âm,"Kim, Thổ",Thuốc thanh phế chỉ khái,"Phế, Vị","Công năng: Thanh phế nhiệt và vị nhiệt, chỉ khái, chi ẩu. Chủ trị: Ho và suyễn do phế nhiệt, sốt và khát do vị nhiệt.","Nôn do hư hàn, ho do phong hàn không nên dùng.","https://duocdienvietnam.com/ty-ba-diep/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 247",,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/ty-ba-duoc-lieu-tue-linh.jpg
H056,Tỳ giải (Thân rễ),Rhizoma Dioscoreae,Khổ,Bình,Trung tính,"Mộc, Thủy, Thổ",Thuốc lợi thấp,"Can, Thận, Vị, Bàng quang","Công năng: Phân thanh trừ trọc, khu phong trừ thấp. Chủ trị: Cao lâm (đái đục), bạch đới quá nhiều; sang độc do thấp nhiệt, đau lưng đầu gối.","Không dùng cho người âm hư hỏa vượng, đau lưng do thận hư.","https://duocdienvietnam.com/ty-giai-than-re/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 337",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/ty-giai-duoc-lieu-tue-linh2.jpg
H057,Uy linh tiên (Rễ và Thân rễ),Radix et rhizoma Clematidis,"Tân, hàm",Ôn,Dương,Thủy,Thuốc khử phong thấp,Bàng quang,"Công năng: Khu phong, trừ thấp, thông kinh lạc, chỉ thống. Chủ trị: Phong tê thấp các khớp chi, gân mạch co rút khó cử động, dân gian dùng chữa họng hóc xương cá.","Huyết hư gây gân co rút, không phong thấp thực tà thì không dùng.","https://duocdienvietnam.com/uy-linh-tien-re-va-than-re-2/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 324",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/uy-linh-tien-duoc-lieu-tue-linh2.jpg
H058,Xích thược (Rễ),Radix Paeaniae,"Toan, khổ",Vi hàn,Âm,"Mộc, Thổ",Thuốc thanh nhiệt lương huyết,"Can, Tỳ","Công năng: Lương huyết, tán ứ, giảm đau. Chủ trị: Ôn độc phát ban, ỉa máu, chảy máu cam, mắt đỏ sưng đau, can uất, sườn đau, kinh bế, hành kinh đau bụng, hòn cục trong bụng, sưng đau do sang chấn, nhọt độc sưng đau.",Không dùng phối hợp với Lê lô.,"https://duocdienvietnam.com/xich-thuoc-re/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 233",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/xich-thuoc-duoc-lieu-tue-linh2.jpg
H059,Vông nem (Lá),Folium Erythrinae variegatae,Khổ,Bình,Trung tính,"Hỏa, Thổ",Thuốc dưỡng tâm an thần,"Tâm, Tỳ","Công năng: An thần, sát trùng. Chủ trị: Mất ngủ (uống), mụn nhọt, loét, trĩ, lậu (đắp ngoài)","Chú ý: Alcaloid erythrine, có trong lá và thân, làm giảm hoạt động của thần kinh trung ương, chất migarin làm giãn đồng tử. Lá vông còn có tác dụng ức chế thần kinh trung ương, hạ nhiệt độ, hạ huyết áp. Phạm Thanh Kỳ và cộng sự thấy alcaloid từ vông nem có tác dụng hạ áp","https://duocdienvietnam.com/vong-nem-la/
category_vi, safety_notei:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 266",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/vong-nem-duoc-lieu-tue-linh1.jpg
H060,Vừng đen (Hạt),Semen Sesami Nigrum,Cam,Bình,Trung tính,"Thổ, Mộc, Thủy",Thuốc nhuận hạ,"Tỳ, Can, Thận","Công năng: Bổ can thận, đường huyết, chỉ huyết, nhuận tràng thông tiện, lợi sữa. Chủ trị: Thiếu máu do huyết hư, tóc bạc sớm, xuất huyết do giảm tiểu cầu, táo bón, sau đẻ ít sữa.","Tỳ vị hư hàn, ỉa chảy không dùng.","https://duocdienvietnam.com/vung-den-hat/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 367",,https://www.vinmec.com/static/uploads/large_20210606_143449_240342_hat_vung_co_tac_dun_max_1800x1800_jpg_c765c492ff.jpg
H061,Xuyên khung (Thân rễ),Rhizoma Ligustici wallichii,Tân,Ôn,Dương,"Mộc, Thổ, Hỏa, Thủy",Thuốc hoạt huyết,"Can, Đởm, Tâm bào","Hành khí hoạt huyết, trừ phong, giảm đau. Chủ trị: Điều kinh, nhức đầu, hoa mắt, cảm mạo phong hàn, phong thấp nhức mòi, ngực bụng đau tức, nhọt độc sưng đau.",Người âm hư hỏa vượng không nên dùng.,"https://duocdienvietnam.com/xuyen-khung-than-re/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 295",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/xuyen-khung-duoc-lieu-tue-linh1.jpg
H062,Bạch thược (Rễ),Radix Paeoniae lactiflorae,"Khổ, toan",Vi hàn,Âm,"Hỏa, Mộc, Kim",Thuốc bổ huyết,"Can, Tỳ, Phế","Bổ huyết, dưỡng ẩm, thư cân, bình can, chỉ thống. Chủ trị: Huyết hư, da xanh xao, đau sườn ngực, mồ hôi trộm, kinh nguyệt không đều, âm hư phát sốt, chóng mặt đau đầu, chân tay co rút, đau bụng do can khắc tỳ.",Đầy bụng không nên dùng. Không dùng cùng Lê lô,"https://duocdienvietnam.com/bach-thuoc-re-1/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 318",,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/bach-thuoc-duoc-lieu-tue-linh.jpg
