herb_id,herb_name,herb_name_latin,nature_vi,temp_property,yin_yang,element_group,category_vi,meridian_main,indication_vi,safety_note,data_source,,image_url
H073,Hạnh nhân (Khổ Hạnh Nhân),Semen Armeniacae amarum,"Khổ, tân",Ôn (Ít độc),Âm,Kim,Thuốc ôn phế chỉ khái,"Phế, Đại trường","Chỉ khái bình suyễn, nhuận tràng thông tiện. Chủ trị: Ho suyễn do ngoại tà hoặc đờm ẩm, táo bón do huyết hư và thiếu tân dịch.","Hư nhược mà ho không phải do tà khí thì không dùng, không dùng quá liều, kéo dài để tránh methemoglobin.","https://duocdienvietnam.com/kho-hanh-nhan/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 246",,https://duocdienvietnam.com/wp-content/uploads/2018/07/Kho-hanh-nhan-1024x683.jpg
H074,Bách hợp (Thân hành),Bulbus Lilii,Cam,Hàn,Âm,"Kim, Hỏa",Thuốc bổ âm (dưỡng âm),"Phế, Tâm","Dưỡng âm, nhuận phế, thanh tâm, an thân. Chủ trị: Âm hư, ho lâu ngày, trong đờm lẫn máu, hư phiền, kinh hãi, tim đập mạnh, mất ngủ, hay ngủ mê, tinh thần hoảng sợ.","Trúng hàn (cảm lạnh), hàn thấp ứ trệ, tỳ, thận dương suy không nên dùng.","https://duocdienvietnam.com/bach-hop-than-hanh/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 344",,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/106-lilium-brownii-f-e-brown-ex-mill-var-1.jpg
H075,Bạch cập (Thân rễ),Rhizoma Bletillae striatae,"Khổ, cam, chát",Vi hàn,Âm,"Kim, Thổ",Thuốc phá huyết,"Phế, Vị","Thu liễm chỉ huyết, sinh cơ tiêu sưng. Chủ trị: Lao phổi ho ra máu, nôn ra máu, chấn thương chảy máu, da nứt nẻ, nhọt độc viêm tấy.","Không kết hợp với các loại thuốc Ô đầu (Ô đầu, Phụ tử, Thiên hùng).","https://duocdienvietnam.com/bach-cap-than-re/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 305",,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/bach-cap-duoc-lieu-tue-linh.jpg
H076,Dâm dương hoắc,Herba Epimedii,Tân,Ôn,Dương,"Thủy, Mộc",Thuốc bổ dương  (thuốc trợ dương),"Thận, Can","Bổ thận dương, cường cân cốt. trừ phong thấp. Chủ trị: Liệt dương, hoạt tinh, yếu chân tay, phong thấp đau tê bại, co rút cơ.","Cương dương, mộng tinh, sung huyết não, mất ngủ không nên dùng.","https://duocdienvietnam.com/dam-duong-hoac-herba-epimedii-duoc-dien-viet-nam-5/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 356",,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/ddd3.jpg
H077,Đinh hương (Nụ hoa),Flos Syzygii aromatici,Tân,Ôn,Dương,"Kim, Thổ, Thủy",Thuốc ôn trung,"Phế, Tỳ, Vị, Thận","Ôn trung, giáng nghịch, bổ thận trợ dương. Chủ trị: Tỳ vị hư hàn, nấc, bụng đau lạnh, ỉa chảy, nôn mửa, thận hư liệt dương.","Không hư hàn không dùng, kỵ uất kim.","https://duocdienvietnam.com/dinh-huong-nu-hoa/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 192",,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/inh-huong-duoc-lieu-tue-linh-1.jpg
H078,Long nha thảo,Herba Agrimoniae,"Khổ, chát",Lương,Âm,"Hỏa, Kim, Mộc, Thủy",Thuốc chỉ huyết,"Tâm, Phế, Can, Thận","Liễm huyết, chỉ huyết, thanh tràng chỉ tả, ích khí bổ trung. Chủ trị: Ho ra máu, nôn ra máu, đại tiện ra máu, chảy máu cam, băng huyết. Ngoài ra còn dùng chữa viêm ruột, lỵ, sốt rét, tràng nhạc, ung thũng, chữa bệnh gan, mật, viêm miệng.","Chú ý: Dịch chiết có tác dụng làm tăng canxi trong máu, tăng lượng tiểu cầu. Tác dụng co mạch máu, làm thời gian đông máu rút ngắn lại. Long nha thảo có tác dụng ức chế tụ cầu vàng, trực khuẩn lỵ, mủ xanh","https://duocdienvietnam.com/long-nha-thao/
category_vi, safety_notei:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 303",,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/long-nha-thao3.jpg
H079,Phòng kỷ (Rễ),Radix Stephaniae tetrandrae,Khổ,Hàn,Âm,"Thủy, Thổ",Thuốc khử phong thấp,"Thận, Tỳ, Bàng quang","Lợi thủy tiêu thũng, khu phong chỉ thống. Chủ trị: Thủy thũng, thấp cước khí, tiểu tiện không thông lợi, thấp chân, nhọt độc, phong thấp tê đau.",Suy nhược hàn tính không nên dùng.,"https://duocdienvietnam.com/phong-ky/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 321",,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/phong-ky1.jpg
H080,Thanh cao,Herba Artemisiae apiaceae,"Khổ, vi tân",Vi hàn,Âm,Mộc,Thuốc thanh nhiệt giáng hỏa,"Can, Đởm","Thanh nhiệt giải thử, lương huyết thoái hư nhiệt. Chủ trị: Bệnh lao nhiệt, một số chứng sốt do phế lao, sốt rét, chứng hàn nhiệt vãng lai, ra mồ hôi trộm. Trúng thử.","Người khí hư, ỉa lỏng không nên dùng.","https://duocdienvietnam.com/thanh-cao/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 213",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thanh-cao-duoc-lieu-tue-linh.jpg
H081,Thiên trúc hoàng,Concretio Silicae Bambusae,Cam,Hàn,Âm,Hỏa,Thuốc hóa đàm nhiệt,Tâm,"Công năng: Trừ đàm nhiệt, thanh tâm, trấn kinh. Chủ trị: Tinh thần hôn ám, trúng phong đàm mê tâm khiếu. Trẻ em kinh giật và dạ đề do đàm nhiệt.",Những người không có đàm nhiệt không nên dùng,"https://duocdienvietnam.com/thien-truc-hoang/
category_vi, safety_notei:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 240",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thien-truc-hoang-duoc-lieu-tue-linh2.jpg
H082,Thuyền thoái,Periostracum Cicadae,Cam,Hàn,Âm,"Kim, Mộc",Thuốc giải biểu cay mát,"Phế, Can","Công năng: Tán phong nhiệt, giải kinh, thấu chẩn, tiêu màng. Chủ trị; Cảm mạo phong nhiệt, đau họng, tiếng khàn; sởi không mọc, phong chân ngứa, mắt đỏ có màng, kinh phong.","Chứng hư không do phong nhiệt, phụ nữ có thai không nên dùng.","https://duocdienvietnam.com/thuyen-thoai/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 180",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thuyen-thue-duoc-lieu-tue-linh.jpg
H083,Tiền hồ (Rễ),Radix Peucedani,"Khổ, tân",Vi hàn,Âm,"Kim, Thổ",Thuốc thanh phế chỉ khái,"Phế, Tỳ","Công năng: Tán phong thanh nhiệt, giáng khí, hóa đàm. Chủ trị: Ho và suyễn do phế thực nhiệt có nhiều đàm màu hơi vàng và dính, ho do ngoại cảm phong nhiệt.","Không dùng cho thể âm hư dẫn đến ho khan, hoặc ho đàm hàn, loãng","https://duocdienvietnam.com/tien-ho-re/
category_vi, safety_notei:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 250",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tien-ho-duoc-lieu-tue-linh.jpg
H084,Quế chi,Ramulus Cinnanomi,"Tân, cam",Ôn,Dương,"Kim, Hỏa, Thủy",Thuốc giải biểu cay ấm,"Phế, Tâm, Bàng quang","Công dụng: Giải biểu tán hàn. Thông dương khí. Làm ấm kinh thông mạch. Hành huyết giảm đau. Làm ấm thận hành thủy. Kích thích tuyến mồ hôi, giãn mạch, cường tim, kích thích tiêu hóa.
Chủ trị: Cảm mạo phong hàn, sốt cao, rét run, không mồ hôi. Dương khí ứ trệ gây phù nề, đờm ẩm, khí huyết lưu thông kém. Đau nhức xương khớp do phong hàn thấp trệ. Bế kinh, ứ huyết, đau bụng do lạnh, thai chết lưu. Tiểu tiện bí tức, hen suyễn do thận dương suy yếu.","Những người có chứng thấp nhiệt, âm hư hỏa vượng, đau bụng, các chứng xuất huyết, phụ nữ có thai không được dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 166",,https://www.yhoccotruyen.org/images/DuocVi/340_802201318723_img_1184.jpg
H085,Sinh khương (Gừng tươi),Rhizoma Zingiberis,Tân,Ôn,Dương,"Kim, Thổ",Thuốc giải biểu cay ấm,"Phế, Vị, Tỳ","Công dụng: Phát tán phong hàn. Làm ấm vị (ấm dạ dày), chỉ ẩu (hết nôn lợm). Hóa đờm chỉ ho (hết đờm, ngừng ho). Lợi niệu tiêu phù thũng. Giải độc khử trùng: dùng khi giun đũa chui ống mật, tắc ruột do giun đũa hoặc giải độc khi ăn cua, cá bị dị ứng. Tác dụng dược lý: Gây co mạnh, hưng phấn thần kinh trung ương và giao cảm, tăng tuần hoàn, tăng huyết áp, ức chế trung tâm nôn, kháng khuẩn. 
Chủ trị: Cảm mạo do phong hàn gây ra. Bụng đầy trướng, đau bụng không tiêu, nôn mửa do lạnh. Phụ nữ sau đẻ bị cảm lạnh, khí huyết ngưng trệ, chân tay lạnh. Ho do viêm khí quản. Phù mới mắc (dùng vỏ gừng). Rửa vết thương, trị mẩn ngứa.",Những người bị ho do phế nhiệt và nôn do vị nhiệt thì không nên dùng. Trẻ dưới 1 tuổi bị ho khi dùng nước gừng tắm cần tránh gió và lau khô sau tắm.,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 168-169",,https://upload.wikimedia.org/wikipedia/commons/d/d0/Ingwer-rhizoma-zingiberis-Marktware.jpg
H086,Khương hoạt,Rhizoma et Radix Notopterygii,"Tân, khổ",Ôn,Dương,"Mộc, Thủy",Thuốc giải biểu cay ấm,"Can, Thận, Bàng quang","Công dụng: Tán hàn giải biểu, trừ thấp chỉ thống (giảm đau). Có tính ôn táo, dùng tốt cho các chứng thấp đau nhức xương cốt từ lưng trở lên.
Chủ trị: Trị cảm mạo phong hàn, sốt không có mồ hôi, đau đầu, toàn thân đau mỏi. Trị bệnh phong thấp dẫn đến đau lưng, đau xương cốt cấp tính, viêm khớp thể phong thấp.","Những người huyết hư, không phải do nguyên nhân phong hàn thì không dùng. Thuốc mang tính ôn táo, dễ làm hao tổn tân dịch.","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 172-173",,https://duocdienvietnam.com/wp-content/uploads/2018/07/Khuong-hoat-1024x683.jpg
H087,Hành (Thông bạch),Herba Allii fistulosi.,Tân,Ôn,Dương,"Kim, Thổ",Thuốc giải biểu cay ấm,"Phế, Vị","Công dụng: Làm ra mồ hôi, hoạt huyết thông dương khí, kiện vị giảm đau và lợi tiểu tiện. Dược liệu còn có tác dụng sát khuẩn, diệt ký sinh trùng, cố thận, xúc tiến sự phân tiết dịch men tiêu hóa và ức chế các loại vi khuẩn như trực khuẩn lỵ, nấm ngoài da.
Chủ trị: Trị cảm mạo phong hàn mới mắc, sốt không ra mồ hôi và các trường hợp huyết ứ trệ gây cấm khẩu. Trị bụng đầy trướng đau, đại tiện lỏng, tiểu tiện bí tắc, di tinh, mụn nhọt viêm da có mủ, giun chui ống mật và giải độc khi bị dị vật đâm vào da.","Những người biểu hư, mồ hôi nhiều không nên dùng. Không uống lẫn hành với mật ong (tương kỵ)","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 173-174",,https://bizweb.dktcdn.net/100/363/007/files/vi-thuoc-thong-bach-1.jpg?v=1592067395629
H088,Hương nhu,Herba Ocimi sancti,Tân,Ôn,Dương,"Kim, Thổ",Thuốc giải biểu cay ấm,"Phế, Vị","Công dụng: Giải cảm (cả cảm hàn và cảm nhiệt), hoá thấp kiện vị. Giúp lợi niệu, tiêu phù thũng, sát khuẩn và có tác dụng làm lên tóc. Tinh dầu hương nhu có tác dụng làm giãn mạch máu ở thận, tăng áp lực lọc để lợi niệu và kháng khuẩn, diệt lỵ amíp.","Những người biểu hư, mồ hôi nhiều không nên dùng.","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 174-175",,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/huong-nhu-tia-dltl3.jpg
H089,Cam thảo,Radix Glycyrrhizae,Cam,Bình,Trung tính,"Mộc, Thổ",Thuốc bổ khí,"Can, Tỳ và thông hành 12 kinh","Công năng: Ích khí dưỡng huyết, nhuận phế chỉ ho, tả hỏa giải độc, hoãn cấp chỉ thống.
Chủ trị: Khí huyết hư nhược, mệt mỏi, thiếu máu, đau họng, viêm họng cấp và mạn, viêm amidan, ho nhiều đàm, mụn nhọt, đinh độc, sưng đau, đau dạ dày, đau bụng, gân mạch co rút, hỗ trợ điều trị gãy xương, tổn thương phần mềm.","Nếu tỳ vị có thấp trệ, sôi bụng, đầy bụng không dùng. Cam thảo dùng lâu dễ bị phù nề","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 288",,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/cam-thao-duoc-lieu-tue-linh-1.jpg
H090,Tô diệp (Tía tô),Folium Perillae,Tân,Ôn,Dương,"Thổ, Kim",Thuốc giải biểu cay ấm,"Tỳ, Phế","Công năng: Giải biểu tán hàn, phát hãn, hành khí hòa trung, kiện vị chỉ nôn, khử đờm chỉ khái, an thai, giải độc, cường thân.
Chủ trị: Cảm hàn phong hàn gây sốt, đau đầu, nhức mỏi, đau răng, tỳ vị khí trệ gây đầy trướng, ăn uống không tiêu, buồn nôn, nôn, ho có đờm nhiều, viêm phế quản mạn, phụ nữ có thai nôn nghén, viêm khí quản, viêm phế quản, di tinh, mộng tinh, ngộ độc hải sản, ngộ độc thức ăn, dùng ngoài sát khuẩn, giải độc mụn nhọt, làm sạch môi trường.","Những người biểu hư, mồ hôi nhiều, mồ hôi trộm không nên dùng. Chất dầu của quả tía tô có tác dụng gây đại tiện lỏng, do vậy những người ăn uống không tiêu, đại tiện lỏng không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 171",,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tia-to-duoc-lieu-tue-linh1.jpg
H091,Bán hạ (nam),Rhizoma Typhonii,Tân,Ôn,Dương,Thổ,Thuốc hóa đàm hàn,"Tỳ, Vị","Công năng: Làm ráo thấp, trừ đàm, chỉ ho, giáng nghịch, chỉ nôn, tiêu thũng, giảm đau, giải độc.
Chủ trị: Đàm thấp gây ho nhiều đờm, đàm thấp mạn tính, viêm phế quản mạn, ho kèm buồn nôn, khí nghịch gây nôn ói, nôn do đàm trệ, đau do rắn cắn, sưng đau, viêm nhiễm ngoài da.","Những người có chứng táo, nhiệt, không nên dùng, người có thai dùng cần thận trọng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 235",,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/ban-ha-duoc-lieu-tue-linh-1.jpg
H092,Trần bì,Pericarpium Citri,"Khổ, tân",Ôn,Dương,"Thổ, Kim",Thuốc hành khí giải uất,"Tỳ, Phế","Công năng: Hành khí hòa vị, chỉ nôn chỉ tả, hóa đàm ráo thấp, chỉ ho, sơ can hành khí.
Chủ trị: Đau bụng do hàn, khí trệ gây đầy trướng ngực bụng, buồn nôn, nôn, tiêu chảy, ho có đờm, đàm thấp ứ trệ ở ngực, viêm khí quản mạn tính, bệnh sán thống như đau ruột non, đau tinh hoàn, thoát vị bẹn, nhọt ở vú, vú kết hòn cục, sườn ngực đau, phong thấp ước khí.","Những người ho khan, âm hư không có đàm, không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 275",,https://upload.wikimedia.org/wikipedia/commons/e/e0/Citrus_fruits.jpg
H093,Hương phụ,Rhizoma Cyperi,"Vi tân, vi khổ",Bình,Trung tính,"Mộc, Thổ, Hỏa",Thuốc hành khí giải uất,"Can, Tỳ, Tam tiêu","Hành khí chỉ thống, giải uất điều kinh, kiện vị tiêu thực. Chủ trị: Đau dạ dày, tiêu hóa kém, đau cơ, đau ngực sườn, đau dây thần kinh ngoại biên, đau đầu, đau bụng kinh, rối loạn kinh nguyệt.",Âm hư huyết nhiệt không nên dùng,"https://duocdienvietnam.com/huong-phu-than-re/
category_vi: Sách ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 274",,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/quyt-tran-bi-duoc-lieu-tue-linh.jpg
H094,Mộc hương,Radix Sausurea lappae,"Tân, khổ",Ôn,Dương,"Kim, Mộc, Thổ",Thuốc hành khí giải uất,"Phế, Can, Tỳ","Công năng: Hành khí chỉ thống, bình can giáng áp.
Chủ trị: Can tỳ vị khí trệ gây ngực bụng đầy trướng, đau bụng, ăn uống không ngon, khó tiêu, đau hông sườn, đau nhức do khí trệ, can dương thịnh gây cao huyết áp.","Chú ý: Vân mộc hương có tác dụng giáng áp. Còn dùng vị nam mộc hương (vỏ rụt) vỏ cây rụt Họ-Rutaceae, với tác dụng của mộc hương","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 279",,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/van-moc-huong.jpg
H095,Phòng phong,Radix Ledebouriellae seseloidis,"Tân, cam",Vi ôn,Dương,"Mộc, Thủy",Thuốc giải biểu cay ấm,"Can, Bàng quang","Công năng: Giải cảm hàn, trừ phong thấp, giảm đau, giải độc
Chủ trị: Cảm mạo phong hàn xuất hiện sốt rét, đau đầu, ho. Đau nhức xương khớp hoặc đau mình mẩy, buốt cơ, đau nửa đầu. Co quắp, uốn ván và dùng phòng phong giải độc thạch tín","Những người âm hư hỏa vượng không có phong tả không nên dùng, tương sát với thạch tín","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 177",,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/phong-phong2.jpg
H096,Độc hoạt,Radix Angelicae pubescentis,"Tân, khổ",Ôn,Dương,"Mộc, Thủy",Thuốc khử phong thấp,"Can, Thận","Công năng: Khử phong thấp, chỉ thống
Chủ trị: Phong hàn thấp tý, tê liệt cơ thể. Đau nhức xương khớp","Những người âm hư, hỏa vượng, huyết hư không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 327",,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/c-hoat3.jpg
H097,Tang diệp,Folium Mori,"Khổ, cam",Hàn,Âm,"Mộc, Kim, Thủy",Thuốc giải biểu cay mát,"Can, Phế, Thận","Công năng: Giải cảm nhiệt, cố biểu, liễm hàn, làm hạ huyết áp, hạ đường huyết
Chủ trị: Cảm nhiệt, biểu hiện miệng khát, sốt cao, đau đầu, ho khan. Mồ hôi, mồ hôi trộm, ra mồ hôi ở lòng bàn tay. Kinh can bị phong nhiệt, mắt đỏ sưng đau, viêm màng kết mạc, hoa mắt, chảy nhiều nước mắt, tiêu khát (đái đường)","Chú ý: Khi dùng, lấy lá bánh tẻ, tước bỏ cuống và xơ gân. Lá non nấu canh với tôm chà cho trẻ ăn chữa mồ hôi trộm. Tang diệp có tác dụng ức chế trực khuẩn thương hàn, tụ cầu khuẩn","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 182",,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/dau-tam-duoc-lieu-tue-linh-2.jpg
H098,Lô căn,Radix Phragmiti,Cam,Hàn,Âm,"Kim, Thổ",Thuốc thanh nhiệt táo thấp,"Phế, Vị","Công năng: Thanh nhiệt sinh tân dịch, lợi niệu. Thanh phế nhiệt, thanh trừ nhiệt ở vị, làm hết nôn
Chủ trị: Bệnh nhiệt, tâm phiền, miệng khát, tiểu tiện ngắn đỏ. Phong thấp phạm phế nhiệt sinh ho. Vị nhiệt gây nôn lợm, nấc","Chú ý: Thân và rễ lô căn có tác dụng giống nhau, nhưng lực thanh phế của thân mạnh hơn rễ. Có tác dụng hòa tan sỏi mật, có thể trị hoàng đần và viêm khớp cấp tính","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 227",,https://thuocdantoc.vn/wp-content/uploads/2019/08/lo-can.jpg
H099,Cát cánh,Radix Platycodi,"Tân, khổ",Ôn,Dương,Kim,Thuốc hóa đàm hàn,Phế,"Công dụng: Khử đàm chỉ ho, làm thông phế, lợi hầu họng, trừ mũ, tiêu ung thũng
Chủ trị: Ho đàm(Đàm khó khạc ra, đàm nhiều), ngực bứt rứt khó chịu. Kinh phế bị tắc, hầu họng sưng đau như viêm vọng, viêm amiđan. Phế ung, phế có mủ, ngực và cơ hoành đau, ho nôn ra đàm mủ. Ngoài ra còn tiêu trừ khí tích trong dạ dày, ruột","Những người âm hư hỏa vượng ho lâu ngày, ho ra máu đều không nên dùng, dùng lượng lớn quá, sau khi uống, dẫn đến đau tâm, buồn nôn","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 239",,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/cat-canh-duoc-lieu-tue-linh-3.jpg
H100,Cát căn,Radix Pueraiae,"Tân, cam",Bình,Trung tính,Thổ,Thuốc giải biểu cay mát,"Tỳ, Vị","Công năng: Làm ra mồ hôi, hạ nhiệt, giải độc, làm cho sởi mọc hoàn toàn, sinh tân dịch chỉ khát, thanh tràng chỉ lỵ, thanh tâm nhiệt, hạ huyết nhiệt
Chủ trị: Ngoại cảm phong nhiệt sốt cao, phiền khát, đau đầu; đặc biệt đau vùng sau đầu, vùng chẩm và vùng gáy, hoặc cứng gáy, cổ gáy đau, khó quay đầu. Sốt mà bụng cồn cào, miệng háo khát người khô háo, đại tiện bí kết, đau vùng thượng vị. Đi ngoài lỏng lỵ lâu ngày. Chứng niêm mạc miệng môi lưỡi lở loét, sinh mụn nhọt, các chứng tiểu tiện, tiểu dắt, buốt, nước tiểu đục, bệnh cao huyết áp","Những người thượng tiêu thịnh, hạ tiêu hư, âm hư, hỏa vượng, không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 184",,https://duocdienvietnam.com/wp-content/uploads/2018/07/san-day-1024x683.jpg
H101,Ngưu bàng tử,Fructus Arctii,"Tân, khổ",Hàn,Âm,"Kim, Thổ",Thuốc giải biểu cay mát,"Phế, Vị","Công năng: Giải cảm nhiệt, giải độc, làm cho sởi mọc. Ngoài ra còn dùng đối với dị ứng
Chủ trị: Phong nhiệt phạm biểu, gây sốt, miệng khô khát, ho khan viêm amiđan, khạt ra đờm vàng đặc. Ngoài ra còn dùng đối với dị ứng","Những người tỳ hư, tiết tả, không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 181",,https://duocdienvietnam.com/wp-content/uploads/2018/07/nguu-bang-1024x683.jpg
H102,Mộc thông,Caulis Clematidis armandi,Khổ,Hàn,Âm,"Hỏa, Kim",Thuốc lợi thấp,"Tâm, Phế, Đại trường, Tiểu trường","Công năng: Lợi thấp, lợi niệu, thông lâm, hành huyết thông kinh
Chủ trị: Bí tiểu tiện, tiểu tiện ngắn đỏ, đái dắt. Kinh nguyệt bế tắc, huyết mạch ứ trệ, mình mẩy đau nhức, đau khớp","Chú ý: Với liều 0,5g/kg, tiêm vào phúc mạc thỏ, có tác dụng lợi tiểu. Uống 3g (3 lần), lượng nước tiểu tăng, nhưng trong nước tiểu lượng Cl- giảm. Dịch chiết cồn 1:20 có thể ức chế nhiều loại vi khuẩn Gram dương và lỵ trực khuẩn, trực khuẩn thương hàn","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 339",,NULL
H103,Sài đất,Herba Wedeliae,"Vi hàm, vi khổ",Lương,Âm,"Hỏa, Kim, Thổ",Thuốc chữa mụn nhọt mẩn ngứa,"Tâm, Phế, Vị","Thanh nhiệt giải độc, tiêu viêm. Chủ trị: Mụn nhọt, ngứa lở, dị ứng.",,"https://duocdienvietnam.com/sai-dat/
category_vi: sách những cây thuốc và vị thuốc việt nam trang 87
Link: https://up.nhuttruong.com/file/nhuttruongcom/sach02/TBooks%20-%20Ebook%20Nhung%20cay%20thuoc%20-%20GS.TS.%20Do%20Tat%20Loi%20911132.pdf",,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/sai-dat-1.jpg
H104,Cẩu tích,Rhizoma Cibotii,"Khổ, cam, vi tân",Ôn,Dương,"Mộc, Thủy",Thuốc bỏ dương,"Can, Thận","Công năng: Bổ can thận, mạnh gân cốt, trừ phong thấp, cố thận
Chủ trị: Can thận yếu, đau lưng, đau khớp, suy tủy, hai chân tê mỏi, nhức trong xương, vô lực. Bệnh đái tháo, đái nhiều không cầm lại được, phụ nữ băng lậu, đới hạ, hoặc các bệnh di tinh, hoạt tinh","Những người thận hư có nhiệt không dùng, âm hư có nhiệt, tiểu tiện không thông, miệng đắng lưỡi khô, không dùng.","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 349",,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/cau-tich-duoc-lieu-tue-linh-1.jpg
H105,Đậu sị,Semen Sojae praeparatum,Khổ,Hàn,Âm,"Kim, Thổ",Thuốc chữa cảm sốt,"Phế, Vị","Có tác dụng giải biểu trừ phiền. Dùng làm thuốc thanh nhiệt sơ khởi, khi sốt, khi rét, đầu nhức, ngực đầy trướng, phiền nhiệt",Những người không phải phong hàn ngoại cảm không dùng được,"sách những cây thuốc và vị thuốc việt nam trang 686
Link: https://up.nhuttruong.com/file/nhuttruongcom/sach02/TBooks%20-%20Ebook%20Nhung%20cay%20thuoc%20-%20GS.TS.%20Do%20Tat%20Loi%20911132.pdf",,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/u-si-duoc-lieu-tue-linh-3.jpg
